Word,Conc.M,Conc.SD
木船,4.846154,0.464095
纳妾,3.961538,0.773603
纽扣,4.846154,0.367946
派出,3.083333,1.17646
判刑,3.5,1.140175
叛国,3.653846,1.23101
胖子,3.961538,0.958364
贫乏,2.653846,1.23101
聘请,3.538462,1.139501
起立,4.192308,0.895287
缱绻,2.8,1.196486
亲友,4.038462,0.823688
轻松,2.807692,1.16685
秋天,4.346154,1.017539
囚室,4.538462,0.508391
全校,3.961538,1.182566
妊娠,4.076923,0.97665
闪避,3.192308,1.059027
善恶,2.12,1.201388
社工,4.076923,0.627572
饰演,3.346154,1.294366
首先,3.076923,1.383418
兽欲,2.461538,1.33359
输光,3.230769,1.210213
水果,4.2692309999999996,0.91903
说服,2.961538,1.03849
送命,2.923077,1.230385
蒜头,4.692308,0.470679
挽留,2.769231,0.992278
午夜,3.923077,0.89098
峡谷,4.307692,0.884047
宪制,3.217391,1.380267
写字,4.384615,0.697247
新娘,4.7692309999999996,0.429669
虚构,2.615385,1.471786
药理,2.692308,1.378963
要挟,2.923077,1.163549
意欲,2.173913,0.936734
因子,2.64,1.350309
阴道,4.538462,0.811456
银两,4.5,0.583095
英明,2.384615,1.235376
预兆,2.64,1.319091
圆周,3.88,0.971253
遭遇,2.884615,1.070586
摘要,3.576923,1.101747
掌声,4.384615,0.752432
爪牙,3.615385,1.022817
之类,2.15,1.089423
中央,3.576923,1.101747
终年,3.230769,1.210213
自负,2.307692,1.158248
组成,2.730769,0.961569
钻孔,4.076923,0.796145
哀求,3.444444,1.181874
罢课,4.416667,0.731925
白话,3.361111,1.245627
颁奖,4.416667,0.554205
半圆,4.555556,0.557773
背心,4.083333,0.996422
